#{"t_start": 1752083390.4125154, "env_id": "None"}
r,l,t
-0.835516,10,10.975278
-0.835516,10,10.980364
-0.835516,10,10.985854
-0.835516,10,10.991863
-0.835516,10,10.997567
-0.835516,10,11.003067
-0.835516,10,11.00807
-0.835516,10,11.014071
-0.835516,10,11.019407
-0.835516,10,11.025407
-0.835516,10,11.030399
-0.835516,10,12.372318
-0.835516,10,12.372318
-0.835516,10,12.372318
-0.835516,10,12.393809
-0.835516,10,12.393809
-0.835516,10,12.404461
-0.835516,10,12.404461
-0.835516,10,12.404461
-0.835516,10,12.420278
-0.835516,10,12.420278
-0.835516,10,12.434077
-0.835516,10,12.436154
-0.835516,10,12.436154
-0.835516,10,12.452001
-0.835516,10,12.45414
-0.835516,10,12.45414
-0.835516,10,12.45414
-0.835516,10,12.474607
-0.835516,10,12.479737
-0.835516,10,12.485757
-0.835516,10,12.486087
-0.835516,10,12.493983
-0.835516,10,12.501635
-0.835516,10,12.506499
-0.835516,10,12.514166
-0.835516,10,12.51743
-0.835516,10,12.51743
-0.835516,10,12.51743
-0.835516,10,12.533428
-0.835516,10,12.533428
-0.835516,10,12.533428
-0.835516,10,12.549313
-0.835516,10,12.549313
-0.835516,10,12.549313
-0.835516,10,12.565144
-0.835516,10,12.565144
-0.835516,10,12.581027
-0.835516,10,12.581027
-0.835516,10,12.581027
-0.835516,10,12.597171
-0.835516,10,12.597171
-0.835516,10,12.597171
-0.835516,10,12.613221
-0.835516,10,12.613221
-0.835516,10,12.613221
-0.835516,10,12.628941
-0.835516,10,12.628941
-0.835516,10,12.628941
-0.835516,10,12.644853
-0.835516,10,12.644853
-0.835516,10,12.644853
-0.835516,10,12.660842
-0.835516,10,12.660842
-0.835516,10,12.660842
-0.835516,10,12.676855
-0.835516,10,12.676855
-0.835516,10,12.692892
-0.835516,10,12.695015
-0.835516,10,12.695015
-0.835516,10,12.708669
-0.835516,10,12.708669
-0.835516,10,12.708669
-0.835516,10,12.72464
-0.835516,10,12.72464
-0.835516,10,12.72464
-0.835516,10,12.740398
-0.835516,10,12.740398
-0.835516,10,12.740398
-0.835516,10,12.756355
-0.835516,10,12.756355
-0.835516,10,12.772259
-0.835516,10,12.772259
-0.835516,10,12.772259
-0.835516,10,12.788144
-0.835516,10,12.788144
-0.835516,10,12.795431
-0.835516,10,12.804009
-0.835516,10,12.804009
-0.835516,10,12.804009
-0.835516,10,12.819882
-0.835516,10,12.819882
-0.835516,10,12.819882
-0.835516,10,12.835915
-0.835516,10,12.835915
-0.835516,10,12.835915
-0.835516,10,12.852042
-0.835516,10,12.852042
-0.835516,10,12.852042
-0.835516,10,12.868089
-0.835516,10,12.868089
-0.835516,10,12.883966
-0.835516,10,12.890378
-0.835516,10,12.895696
-0.835516,10,12.899854
-0.835516,10,12.899854
-0.835516,10,12.899854
-0.835516,10,12.916003
-0.835516,10,12.916003
-0.835516,10,12.916003
-0.835516,10,12.931819
-0.835516,10,12.931819
-0.835516,10,12.931819
-0.835516,10,12.951001
-0.835516,10,12.956226
-0.835516,10,12.96367
-0.835516,10,12.96367
-0.835516,10,12.96367
-0.835516,10,12.981181
-0.835516,10,12.981181
-0.835516,10,12.981181
-0.835516,10,12.997952
-0.835516,10,13.003927
-0.835516,10,13.008927
-0.835516,10,13.013656
-0.835516,10,13.013656
-0.835516,10,13.013656
-0.835516,10,13.029068
-0.835516,10,13.029068
-0.835516,10,13.029068
-0.835516,10,13.044864
-0.835516,10,13.044864
-0.835516,10,13.044864
-0.835516,10,13.060697
-0.835516,10,13.060697
-0.835516,10,13.07649
-0.835516,10,13.07649
-0.835516,10,13.07649
-0.835516,10,13.092348
-0.835516,10,13.096539
-0.835516,10,13.096539
-0.835516,10,13.108176
-0.835516,10,13.108176
-0.835516,10,13.108176
-0.835516,10,13.123997
-0.835516,10,13.123997
-0.835516,10,13.123997
-0.835516,10,13.139894
-0.835516,10,13.139894
-0.835516,10,13.139894
-0.835516,10,13.156126
-0.835516,10,13.156126
-0.835516,10,13.172089
-0.835516,10,13.172089
-0.835516,10,13.172089
-0.835516,10,13.189456
-0.835516,10,13.19427
-0.835516,10,13.199251
-0.835516,10,13.205802
-0.835516,10,13.21149
-0.835516,10,13.21149
-0.835516,10,13.219598
-0.835516,10,13.219598
